NO_OF_FRAMES	3910
NO_OF_CAMERAS	5
NO_OF_MARKERS	14
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-10-22, 16:13:26	1212696.48312156
DATA_INCLUDED	3D
MARKER_NAMES	0	dirY	dirX	RF	RH	RW	LF	LH	LW	RE	LE	RS	LS	NECK
0.322	-0.117	0.023	-0.954	200.960	0.061	300.273	-0.168	0.048	-109.540	118.028	697.888	-101.029	210.443	681.351	-99.206	284.040	666.412	257.147	50.862	712.383	269.077	140.565	688.436	304.396	209.588	662.757	0.000	0.000	0.000	0.000	0.000	0.000	-47.252	469.594	899.976	308.137	394.311	909.838	118.821	368.997	916.381
0.329	-0.118	-0.001	-0.968	200.966	0.071	300.276	-0.172	0.050	-111.048	118.252	697.757	-102.405	210.791	681.370	-100.432	284.363	666.413	259.041	50.627	712.367	270.822	140.316	688.493	305.842	209.554	662.852	0.000	0.000	0.000	0.000	0.000	0.000	-47.254	469.571	899.991	308.147	394.344	909.845	118.821	368.958	916.362
0.334	-0.115	0.005	-0.960	200.967	0.060	300.278	-0.171	0.043	-112.612	118.496	697.622	-103.788	211.128	681.375	-101.569	284.714	666.423	260.960	50.359	712.358	272.548	140.107	688.567	307.246	209.589	662.956	0.000	0.000	0.000	0.000	0.000	0.000	-47.280	469.543	899.990	308.139	394.401	909.853	118.818	368.927	916.359
0.356	-0.126	0.009	-0.952	200.964	0.069	300.302	-0.183	0.062	-114.228	118.785	697.514	-105.145	211.484	681.389	-102.690	285.087	666.445	262.891	50.133	712.385	274.267	139.922	688.613	308.650	209.599	663.035	0.000	0.000	0.000	0.000	0.000	0.000	-47.288	469.511	900.006	308.141	394.429	909.846	118.813	368.892	916.350
0.349	-0.129	0.013	-0.944	200.959	0.060	300.291	-0.176	0.057	-115.858	119.088	697.404	-106.751	211.754	681.345	-103.920	285.412	666.430	264.859	49.866	712.385	276.029	139.692	688.653	310.058	209.628	663.120	0.000	0.000	0.000	0.000	0.000	0.000	-47.299	469.470	900.006	308.155	394.449	909.839	118.801	368.850	916.345
0.346	-0.124	0.002	-0.947	200.963	0.065	300.299	-0.176	0.051	-117.571	119.408	697.285	-108.273	212.079	681.331	-104.988	285.832	666.465	266.807	49.637	712.389	277.764	139.510	688.706	311.458	209.641	663.207	0.000	0.000	0.000	0.000	0.000	0.000	-47.316	469.437	900.006	308.145	394.488	909.847	118.796	368.810	916.337
0.347	-0.120	0.007	-0.948	200.966	0.060	300.295	-0.174	0.048	-119.377	119.727	697.154	-109.758	212.426	681.324	-106.217	286.166	666.473	268.780	49.396	712.373	279.505	139.312	688.751	312.877	209.676	663.271	0.000	0.000	0.000	0.000	0.000	0.000	-47.323	469.402	900.013	308.151	394.518	909.830	118.800	368.749	916.326
0.361	-0.120	0.007	-0.945	200.973	0.061	300.295	-0.176	0.052	-121.114	120.101	697.095	-111.204	212.812	681.343	-107.438	286.516	666.500	270.728	49.181	712.366	281.282	139.095	688.744	314.298	209.689	663.345	0.000	0.000	0.000	0.000	0.000	0.000	-47.338	469.381	900.020	308.153	394.556	909.821	118.787	368.700	916.301
0.341	-0.121	0.010	-0.947	200.969	0.065	300.284	-0.168	0.046	-122.916	120.460	697.013	-112.735	213.182	681.339	-108.724	286.833	666.499	272.694	48.947	712.292	282.996	138.922	688.772	315.680	209.773	663.423	0.000	0.000	0.000	0.000	0.000	0.000	-47.376	469.316	900.008	308.152	394.594	909.817	118.799	368.654	916.289
0.356	-0.121	0.007	-0.958	200.966	0.058	300.296	-0.174	0.053	-124.748	120.815	696.898	-114.215	213.565	681.357	-109.759	287.272	666.544	274.588	48.762	712.259	284.737	138.736	688.802	317.096	209.816	663.496	0.000	0.000	0.000	0.000	0.000	0.000	-47.364	469.280	900.002	308.175	394.579	909.796	118.796	368.600	916.272
0.357	-0.124	0.008	-0.945	200.964	0.057	300.304	-0.172	0.046	-126.553	121.228	696.827	-115.705	213.953	681.370	-110.929	287.640	666.566	276.465	48.559	712.199	286.477	138.547	688.810	318.477	209.899	663.573	0.000	0.000	0.000	0.000	0.000	0.000	-47.370	469.256	900.007	308.183	394.615	909.780	118.805	368.564	916.274
0.366	-0.122	0.002	-0.938	200.960	0.057	300.303	-0.183	0.051	-128.365	121.611	696.768	-117.294	214.301	681.379	-112.088	288.040	666.598	278.345	48.363	712.114	288.203	138.392	688.813	319.888	209.964	663.643	0.000	0.000	0.000	0.000	0.000	0.000	-47.381	469.194	900.009	308.201	394.612	909.771	118.801	368.518	916.255
0.375	-0.124	-0.004	-0.935	200.964	0.060	300.301	-0.176	0.053	-130.217	122.002	696.685	-118.708	214.750	681.425	-113.361	288.393	666.639	280.205	48.180	712.008	289.918	138.228	688.799	321.255	210.035	663.703	0.000	0.000	0.000	0.000	0.000	0.000	-47.372	469.166	900.015	308.216	394.623	909.774	118.802	368.477	916.245
0.348	-0.117	-0.003	-0.929	200.970	0.051	300.308	-0.172	0.042	-132.061	122.409	696.599	-120.055	215.227	681.491	-114.358	288.856	666.690	282.080	48.002	711.917	291.632	138.061	688.779	322.628	210.131	663.775	0.000	0.000	0.000	0.000	0.000	0.000	-47.427	469.105	900.006	308.222	394.611	909.750	118.802	368.445	916.242
0.356	-0.115	0.013	-0.957	200.972	0.057	300.295	-0.166	0.042	-133.862	122.825	696.543	-121.706	215.581	681.504	-115.541	289.258	666.743	283.931	47.827	711.775	293.324	137.928	688.791	324.010	210.215	663.839	0.000	0.000	0.000	0.000	0.000	0.000	-47.404	469.074	900.012	308.228	394.632	909.746	118.797	368.396	916.234
0.372	-0.115	0.003	-0.951	200.973	0.056	300.296	-0.170	0.048	-135.661	123.238	696.459	-123.243	215.992	681.538	-116.794	289.649	666.789	285.761	47.680	711.648	295.015	137.792	688.778	325.350	210.328	663.911	0.000	0.000	0.000	0.000	0.000	0.000	-47.435	469.017	900.023	308.238	394.594	909.726	118.809	368.350	916.230
